Date,Description,Amount
2025-01-03,Whole Foods Market,-85.42
2025-01-05,Shell Gas Station,-45.00
2025-01-06,Netflix Subscription,-15.99
2025-01-07,Salary Deposit,3500.00
2025-01-08,Starbucks Coffee,-6.75
2025-01-10,Amazon.com Purchase,-129.99
2025-01-12,Rent Payment,-1200.00
2025-01-14,Electric Bill - ConEd,-95.30
2025-01-15,Uber Ride,-18.50
2025-01-17,Chipotle Mexican Grill,-12.45
2025-01-18,Spotify Premium,-9.99
2025-01-20,Trader Joe's,-62.30
2025-01-21,Target,-45.67
2025-01-22,Salary Deposit,3500.00
2025-01-23,Water Bill,-35.00
2025-01-24,AMC Theatres,-28.00
2025-01-25,CVS Pharmacy,-22.15
2025-01-27,Delta Airlines,-350.00
2025-01-28,Marriott Hotel,-189.00
2025-01-29,Gym Membership,-49.99
2025-01-30,Internet Bill - Spectrum,-79.99
2025-02-01,Whole Foods Market,-92.18
2025-02-03,Venmo Transfer,-50.00
2025-02-05,Salary Deposit,3500.00
2025-02-06,Uber Eats,-34.50
2025-02-08,Apple App Store,-4.99
2025-02-10,Costco Wholesale,-215.33
2025-02-12,Rent Payment,-1200.00
2025-02-14,Valentine's Dinner - Le Bistro,-156.00
2025-02-15,Electric Bill - ConEd,-102.45
2025-02-17,Gas Station BP,-52.00
2025-02-19,Netflix Subscription,-15.99
2025-02-20,Salary Deposit,3500.00
2025-02-21,Amazon.com Purchase,-67.89
2025-02-23,Starbucks Coffee,-5.50
2025-02-25,Gym Membership,-49.99
2025-02-27,T-Mobile Phone Bill,-85.00
2025-02-28,Freelance Payment,750.00
2025-03-01,Whole Foods Market,-78.55
2025-03-03,Rent Payment,-1200.00
2025-03-05,Salary Deposit,3500.00
2025-03-06,Spotify Premium,-9.99
2025-03-08,Home Depot,-234.56
2025-03-10,Chipotle Mexican Grill,-11.95
2025-03-12,Water Bill,-35.00
2025-03-14,Movie Tickets - Fandango,-32.00
2025-03-15,Electric Bill - ConEd,-88.70
2025-03-17,Uber Ride,-22.30
2025-03-19,Salary Deposit,3500.00
2025-03-20,Amazon.com Purchase,-94.50
2025-03-22,Costco Wholesale,-178.45
